Name,Type,County,Population
Simi Valley,City,Ventura,126356
Solana Beach,City,San Diego,12941
Soledad,City,Monterey,24925
Solvang,City,Santa Barbara,6126
Sonoma,City,Sonoma,10739
Sonora,City,Tuolumne,5003
South El Monte,City,Los Angeles,19567
South Gate,City,Los Angeles,92726
South Lake Tahoe,City,El Dorado,21330
South Pasadena,City,Los Angeles,26943
South San Francisco,City,San Mateo,66105
Stanton,City,Orange,37962
Stockton,City,San Joaquin,320804
Suisun City,City,Solano,29518
Sunnyvale,City,Santa Clara,155805
Susanville,City,Lassen,16728
Sutter Creek,City,Amador,2646
Taft,City,Kern,8546
Tehachapi,City,Kern,12939
Tehama,City,Tehama,435
Temecula,City,Riverside,110003
Temple City,City,Los Angeles,36494
Thousand Oaks,City,Ventura,126966
Tiburon,Town,Marin,9146
Torrance,City,Los Angeles,147067
Tracy,City,San Joaquin,93000
Trinidad,City,Humboldt,307
Truckee,Town,Nevada,16729
Tulare,City,Tulare,68875
Tulelake,City,Siskiyou,902
Turlock,City,Stanislaus,72740
Tustin,City,Orange,80276
Twentynine Palms,City,San Bernardino,28065
Ukiah,City,Mendocino,16607
Union City,City,Alameda,70143
Upland,City,San Bernardino,79040
Vacaville,City,Solano,102386
Vallejo,City,Solano,126090
Ventura,City,Ventura,110763
Vernon,City,Los Angeles,222
Victorville,City,San Bernardino,134810
Villa Park,City,Orange,5843
Visalia,City,Tulare,141384
Vista,City,San Diego,98381
Walnut,City,Los Angeles,28430
Walnut Creek,City,Contra Costa,70127
Wasco,City,Kern,27047
Waterford,City,Stanislaus,9120
Watsonville,City,Santa Cruz,52590
Weed,City,Siskiyou,2862
West Covina,City,Los Angeles,109501
West Hollywood,City,Los Angeles,35757
West Sacramento,City,Yolo,53915
Westlake Village,City,Los Angeles,8029
Westminster,City,Orange,90911
Westmorland,City,Imperial,2014
Wheatland,City,Yuba,3712
Whittier,City,Los Angeles,87306
Wildomar,City,Riverside,36875
Williams,City,Colusa,5538
Willits,City,Mendocino,4988
Willows,City,Glenn,6293
Windsor,Town,Sonoma,26344
Winters,City,Yolo,7115
Woodlake,City,Tulare,7419
Woodland,City,Yolo,61032
Woodside,Town,San Mateo,5309
Yorba Linda,City,Orange,68336
Yountville,Town,Napa,3436
Yreka,City,Siskiyou,7807
Yuba City,City,Sutter,70117
Yucaipa,City,San Bernardino,54542
Yucca Valley,Town,San Bernardino,21738
